"pathwayRampId","inPathway","total"
"RAMP_P_000000572",0,12960
"RAMP_P_000000573",1,12960
"RAMP_P_000000574",17,12960
"RAMP_P_000000575",14,12960
"RAMP_P_000000576",2,12960
"RAMP_P_000000577",0,12960
"RAMP_P_000000578",27,12960
"RAMP_P_000000579",33,12960
"RAMP_P_000000580",14,12960
"RAMP_P_000000581",10,12960
"RAMP_P_000000582",0,12960
"RAMP_P_000000583",22,12960
"RAMP_P_000000584",56,12960
"RAMP_P_000000585",27,12960
"RAMP_P_000000586",8,12960
"RAMP_P_000000587",1,12960
"RAMP_P_000000588",28,12960
"RAMP_P_000000589",14,12960
"RAMP_P_000000590",15,12960
"RAMP_P_000000591",33,12960
"RAMP_P_000000592",18,12960
"RAMP_P_000000593",2,12960
"RAMP_P_000000594",11,12960
"RAMP_P_000000595",5,12960
"RAMP_P_000000596",11,12960
"RAMP_P_000000597",27,12960
"RAMP_P_000000598",9,12960
"RAMP_P_000000599",0,12960
"RAMP_P_000000600",22,12960
"RAMP_P_000000601",15,12960
"RAMP_P_000000602",56,12960
"RAMP_P_000000603",19,12960
"RAMP_P_000000604",7,12960
"RAMP_P_000000605",22,12960
"RAMP_P_000000606",5,12960
"RAMP_P_000000607",33,12960
"RAMP_P_000000608",27,12960
"RAMP_P_000000609",9,12960
"RAMP_P_000000610",8,12960
"RAMP_P_000000611",15,12960
"RAMP_P_000000612",8,12960
"RAMP_P_000000613",20,12960
"RAMP_P_000000614",1,12960
"RAMP_P_000000615",4,12960
"RAMP_P_000000616",28,12960
"RAMP_P_000000617",8,12960
"RAMP_P_000000618",30,12960
"RAMP_P_000000619",9,12960
"RAMP_P_000000620",9,12960
"RAMP_P_000000621",27,12960
"RAMP_P_000000622",15,12960
"RAMP_P_000000623",28,12960
"RAMP_P_000000624",14,12960
"RAMP_P_000000625",11,12960
"RAMP_P_000000626",15,12960
"RAMP_P_000000627",8,12960
"RAMP_P_000000628",36,12960
"RAMP_P_000000629",14,12960
"RAMP_P_000000630",22,12960
"RAMP_P_000000631",56,12960
"RAMP_P_000000632",21,12960
"RAMP_P_000000633",8,12960
"RAMP_P_000000634",21,12960
"RAMP_P_000000635",13,12960
"RAMP_P_000000636",3,12960
"RAMP_P_000000637",18,12960
"RAMP_P_000000638",29,12960
"RAMP_P_000000639",28,12960
"RAMP_P_000000640",10,12960
"RAMP_P_000000641",20,12960
"RAMP_P_000000642",1,12960
"RAMP_P_000000643",2,12960
"RAMP_P_000000644",14,12960
"RAMP_P_000000645",5,12960
"RAMP_P_000000646",17,12960
"RAMP_P_000000647",33,12960
"RAMP_P_000000648",2,12960
"RAMP_P_000000649",1,12960
"RAMP_P_000000650",14,12960
"RAMP_P_000000651",26,12960
"RAMP_P_000000652",28,12960
"RAMP_P_000000653",27,12960
"RAMP_P_000000654",22,12960
"RAMP_P_000000655",56,12960
"RAMP_P_000000656",12,12960
"RAMP_P_000000657",33,12960
"RAMP_P_000000658",13,12960
"RAMP_P_000000659",27,12960
"RAMP_P_000000660",16,12960
"RAMP_P_000000661",0,12960
"RAMP_P_000000662",11,12960
"RAMP_P_000000663",3,12960
"RAMP_P_000000664",1,12960
"RAMP_P_000000665",0,12960
"RAMP_P_000000666",45,12960
"RAMP_P_000000667",4,12960
"RAMP_P_000000668",56,12960
"RAMP_P_000000669",20,12960
"RAMP_P_000000670",28,12960
"RAMP_P_000000671",15,12960
"RAMP_P_000000672",1,12960
"RAMP_P_000000673",5,12960
"RAMP_P_000000674",22,12960
"RAMP_P_000000675",27,12960
"RAMP_P_000000676",4,12960
"RAMP_P_000000677",9,12960
"RAMP_P_000000678",14,12960
"RAMP_P_000000679",0,12960
"RAMP_P_000000680",34,12960
"RAMP_P_000000681",36,12960
"RAMP_P_000000682",0,12960
"RAMP_P_000000683",14,12960
"RAMP_P_000000684",19,12960
"RAMP_P_000000685",1,12960
"RAMP_P_000000686",33,12960
"RAMP_P_000000687",3,12960
"RAMP_P_000000688",18,12960
"RAMP_P_000000689",15,12960
"RAMP_P_000000690",17,12960
"RAMP_P_000000691",56,12960
"RAMP_P_000000692",32,12960
"RAMP_P_000000693",14,12960
"RAMP_P_000000694",27,12960
"RAMP_P_000000695",14,12960
"RAMP_P_000000696",56,12960
"RAMP_P_000000697",15,12960
"RAMP_P_000000698",9,12960
"RAMP_P_000000699",20,12960
"RAMP_P_000000700",13,12960
"RAMP_P_000000701",14,12960
"RAMP_P_000000702",6,12960
